python train_clf.py
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
The `device` argument should be set by using `torch.device` or passing a string as an argument. This behavior will be deprecated soon and currently defaults to cpu.
Iter-0; loss: 0.7558; val_acc: 0.4771
Iter-200; loss: 0.3742; val_acc: 0.7005
Iter-400; loss: 0.3851; val_acc: 0.7219
Iter-600; loss: 0.1596; val_acc: 0.7385
Iter-800; loss: 0.0896; val_acc: 0.7234
Iter-1000; loss: 0.0864; val_acc: 0.6927
Iter-1200; loss: 0.0458; val_acc: 0.7042
Iter-1400; loss: 0.0475; val_acc: 0.7214
Iter-1600; loss: 0.0838; val_acc: 0.7094
Iter-1800; loss: 0.0268; val_acc: 0.7203
Iter-2000; loss: 0.0219; val_acc: 0.7057
Iter-2200; loss: 0.0212; val_acc: 0.7099
Iter-2400; loss: 0.1561; val_acc: 0.7073
Iter-2600; loss: 0.0384; val_acc: 0.6776
Iter-2800; loss: 0.0610; val_acc: 0.7036
Iter-3000; loss: 0.0569; val_acc: 0.6568
Iter-3200; loss: 0.0106; val_acc: 0.7047
Iter-3400; loss: 0.0603; val_acc: 0.7125
Iter-3600; loss: 0.0218; val_acc: 0.7370
Iter-3800; loss: 0.0111; val_acc: 0.7339
Iter-4000; loss: 0.0081; val_acc: 0.7193
Iter-4200; loss: 0.0909; val_acc: 0.7484
Iter-4400; loss: 0.0079; val_acc: 0.7161
Iter-4600; loss: 0.0163; val_acc: 0.7292
Iter-4800; loss: 0.0032; val_acc: 0.7083
Iter-5000; loss: 0.0184; val_acc: 0.7000
Iter-5200; loss: 0.0123; val_acc: 0.6984
Iter-5400; loss: 0.0401; val_acc: 0.6953
Iter-5600; loss: 0.0166; val_acc: 0.7323
Iter-5800; loss: 0.0323; val_acc: 0.7141
Iter-6000; loss: 0.0068; val_acc: 0.6943
Iter-6200; loss: 0.0193; val_acc: 0.6771
Iter-6400; loss: 0.0033; val_acc: 0.7271
Iter-6600; loss: 0.0259; val_acc: 0.7073
Iter-6800; loss: 0.0020; val_acc: 0.7328
Iter-7000; loss: 0.0098; val_acc: 0.7161
Iter-7200; loss: 0.0063; val_acc: 0.6870
Iter-7400; loss: 0.0165; val_acc: 0.6948
Iter-7600; loss: 0.0073; val_acc: 0.7156
Iter-7800; loss: 0.0029; val_acc: 0.7255
Iter-8000; loss: 0.0066; val_acc: 0.6870
Iter-8200; loss: 0.0127; val_acc: 0.7099
Iter-8400; loss: 0.0051; val_acc: 0.7151
Iter-8600; loss: 0.0054; val_acc: 0.7130
Iter-8800; loss: 0.0040; val_acc: 0.7255
Iter-9000; loss: 0.0171; val_acc: 0.7161
Iter-9200; loss: 0.0004; val_acc: 0.7224
Iter-9400; loss: 0.0061; val_acc: 0.7115
Iter-9600; loss: 0.0213; val_acc: 0.7219
Iter-9800; loss: 0.0369; val_acc: 0.7224
Iter-10000; loss: 0.0185; val_acc: 0.6995
Iter-10200; loss: 0.0082; val_acc: 0.7354
Iter-10400; loss: 0.0015; val_acc: 0.6901
Iter-10600; loss: 0.0061; val_acc: 0.6833
Iter-10800; loss: 0.0065; val_acc: 0.6828
Iter-11000; loss: 0.0093; val_acc: 0.7094
Iter-11200; loss: 0.0014; val_acc: 0.7010
Iter-11400; loss: 0.0028; val_acc: 0.7146
Iter-11600; loss: 0.0006; val_acc: 0.7036
Iter-11800; loss: 0.0021; val_acc: 0.7234
Iter-12000; loss: 0.0009; val_acc: 0.7151
Iter-12200; loss: 0.0038; val_acc: 0.7146
Iter-12400; loss: 0.0084; val_acc: 0.7115
Iter-12600; loss: 0.0233; val_acc: 0.7042
Iter-12800; loss: 0.0021; val_acc: 0.7005
Iter-13000; loss: 0.0050; val_acc: 0.6901
Iter-13200; loss: 0.0010; val_acc: 0.7010
Iter-13400; loss: 0.0174; val_acc: 0.6776
Iter-13600; loss: 0.0036; val_acc: 0.6948
Iter-13800; loss: 0.0002; val_acc: 0.7089
Iter-14000; loss: 0.0021; val_acc: 0.7010
Iter-14200; loss: 0.0041; val_acc: 0.6901
Iter-14400; loss: 0.0014; val_acc: 0.7063
Iter-14600; loss: 0.0046; val_acc: 0.6755
Iter-14800; loss: 0.0115; val_acc: 0.6771
Iter-15000; loss: 0.0662; val_acc: 0.7266
Iter-15200; loss: 0.0018; val_acc: 0.7151
Iter-15400; loss: 0.0015; val_acc: 0.7099
Iter-15600; loss: 0.0012; val_acc: 0.6604
Iter-15800; loss: 0.0071; val_acc: 0.7240
Iter-16000; loss: 0.0013; val_acc: 0.7047
Iter-16200; loss: 0.0072; val_acc: 0.7130
Iter-16400; loss: 0.0017; val_acc: 0.7057
Iter-16600; loss: 0.0008; val_acc: 0.7073
Iter-16800; loss: 0.0033; val_acc: 0.6911
Iter-17000; loss: 0.0021; val_acc: 0.7167
Iter-17200; loss: 0.0102; val_acc: 0.7188
Iter-17400; loss: 0.0089; val_acc: 0.6891
Iter-17600; loss: 0.0015; val_acc: 0.7109
Iter-17800; loss: 0.0302; val_acc: 0.6875
Iter-18000; loss: 0.0249; val_acc: 0.6786
Iter-18200; loss: 0.0058; val_acc: 0.7021
Iter-18400; loss: 0.0274; val_acc: 0.6682
Iter-18600; loss: 0.0008; val_acc: 0.7214
Iter-18800; loss: 0.0107; val_acc: 0.6937
Iter-19000; loss: 0.0015; val_acc: 0.6932
Iter-19200; loss: 0.0158; val_acc: 0.6911
Iter-19400; loss: 0.1256; val_acc: 0.7005
Iter-19600; loss: 0.0280; val_acc: 0.7172
Iter-19800; loss: 0.0027; val_acc: 0.6979
Iter-20000; loss: 0.0397; val_acc: 0.6865
Iter-20200; loss: 0.0013; val_acc: 0.7031
Iter-20400; loss: 0.0040; val_acc: 0.7120
Iter-20600; loss: 0.1202; val_acc: 0.7318
Iter-20800; loss: 0.0605; val_acc: 0.7062
Iter-21000; loss: 0.0285; val_acc: 0.6771
Iter-21200; loss: 0.0001; val_acc: 0.6958
Iter-21400; loss: 0.0001; val_acc: 0.6813
Iter-21600; loss: 0.0142; val_acc: 0.7115
Iter-21800; loss: 0.0022; val_acc: 0.7068
Iter-22000; loss: 0.0018; val_acc: 0.7052
Iter-22200; loss: 0.0008; val_acc: 0.6875
Iter-22400; loss: 0.0017; val_acc: 0.7068
Iter-22600; loss: 0.0004; val_acc: 0.6932
Iter-22800; loss: 0.0048; val_acc: 0.7302
Iter-23000; loss: 0.0061; val_acc: 0.7292
Iter-23200; loss: 0.0033; val_acc: 0.6943
Iter-23400; loss: 0.0012; val_acc: 0.7198
Iter-23600; loss: 0.0744; val_acc: 0.7177
Iter-23800; loss: 0.0086; val_acc: 0.7396
Iter-24000; loss: 0.0012; val_acc: 0.7229
Iter-24200; loss: 0.0128; val_acc: 0.6781
Iter-24400; loss: 0.2240; val_acc: 0.6979
Iter-24600; loss: 0.0058; val_acc: 0.7068
Iter-24800; loss: 0.2385; val_acc: 0.6724
Iter-25000; loss: 0.0011; val_acc: 0.6932
Iter-25200; loss: 0.0059; val_acc: 0.7146
Iter-25400; loss: 0.0012; val_acc: 0.6922
Iter-25600; loss: 0.0055; val_acc: 0.6734
Iter-25800; loss: 0.0011; val_acc: 0.6953
Iter-26000; loss: 0.0001; val_acc: 0.7135
Iter-26200; loss: 0.0040; val_acc: 0.6823
Iter-26400; loss: 0.0329; val_acc: 0.6917
Iter-26600; loss: 0.0120; val_acc: 0.7328
Iter-26800; loss: 0.0038; val_acc: 0.6630
Iter-27000; loss: 0.0014; val_acc: 0.7036
Iter-27200; loss: 0.0002; val_acc: 0.7406
Iter-27400; loss: 0.0061; val_acc: 0.6891
Iter-27600; loss: 0.0682; val_acc: 0.6682
Iter-27800; loss: 0.0016; val_acc: 0.6708
Iter-28000; loss: 0.0030; val_acc: 0.7182
Iter-28200; loss: 0.0006; val_acc: 0.7052
Iter-28400; loss: 0.0137; val_acc: 0.6927
Iter-28600; loss: 0.0007; val_acc: 0.6911
Iter-28800; loss: 0.0031; val_acc: 0.6891
Iter-29000; loss: 0.0012; val_acc: 0.7047
Iter-29200; loss: 0.0124; val_acc: 0.6839
Iter-29400; loss: 0.0023; val_acc: 0.6943
Iter-29600; loss: 0.0021; val_acc: 0.7099
Iter-29800; loss: 0.0034; val_acc: 0.6984
Iter-30000; loss: 0.0332; val_acc: 0.6906
Iter-30200; loss: 0.0810; val_acc: 0.7000
Iter-30400; loss: 0.0016; val_acc: 0.6995
Iter-30600; loss: 0.0003; val_acc: 0.6885
Iter-30800; loss: 0.0331; val_acc: 0.7031
Iter-31000; loss: 0.0134; val_acc: 0.6797
Iter-31200; loss: 0.0002; val_acc: 0.7083
Iter-31400; loss: 0.0045; val_acc: 0.6922
Iter-31600; loss: 0.0004; val_acc: 0.6974
Iter-31800; loss: 0.0064; val_acc: 0.6599
